Distance_(m),Gray_Value
0.00000,3.000
0.01858,0.136
0.03716,0.000
0.05574,0.000
0.07432,0.988
0.09290,2.574
0.11148,2.053
0.13006,1.224
0.14864,2.162
0.16722,2.031
0.18580,0.644
0.20438,1.159
0.22296,3.470
0.24154,3.988
0.26012,3.070
0.27870,3.360
0.29728,3.012
0.31586,1.040
0.33444,0.000
0.35302,0.000
0.37160,0.000
0.39018,0.277
0.40876,1.012
0.42734,1.504
0.44592,1.624
0.46450,1.273
0.48308,2.756
0.50166,6.565
0.52024,7.139
0.53882,3.076
0.55740,0.619
0.57598,0.071
0.59456,3.452
0.61314,9.569
0.63172,10.880
0.65030,9.228
0.66888,12.671
0.68746,26.198
0.70604,43.576
0.72462,55.804
0.74320,52.218
0.76178,42.682
0.78036,31.339
0.79894,31.066
0.81752,45.864
0.83610,62.754
0.85468,76.491
0.87326,87.617
0.89184,102.129
0.91042,112.286
0.92900,99.522
0.94758,66.360
0.96616,34.514
0.98474,18.179
1.00332,12.224
1.02190,4.208
1.04048,0.043
1.05906,1.883
1.07764,3.171
1.09622,1.452
1.11480,0.955
1.13338,2.449
1.15196,2.706
1.17054,1.529
1.18912,0.277
1.20770,0.000
1.22628,1.097
1.24486,3.136
1.26344,2.520
1.28202,0.661
1.30060,0.000
1.31918,0.471
1.33776,1.745
1.35634,2.588
1.37492,2.583
1.39350,3.239
1.41208,3.365
1.43066,1.508
1.44924,0.000
1.46782,0.000
1.48640,0.000
1.50498,0.123
1.52356,1.471
1.54214,4.546
1.56072,5.965
1.57930,5.000
